year_film,year_ceremony,ceremony,Category,gender,name,Race,film,winner
1927,1928,1,Best Actor,Male,Emil Jannings,White,The Last Command,1
1927,1928,1,Best Actress,Female,Janet Gaynor,White,7th Heaven,1
1928,1929,2,Best Actor,Male,Warner Baxter,White,In Old Arizona,1
1928,1929,2,Best Actress,Female,Mary Pickford,White,Coquette,1
1929,1930,3,Best Actor,Male,George Arliss,White,Disraeli,1
1929,1930,3,Best Actress,Female,Norma Shearer,White,The Divorcee,1
1930,1931,4,Best Actor,Male,Lionel Barrymore,White,A Free Soul,1
1930,1931,4,Best Actress,Female,Marie Dressler,White,Min and Bill,1
1931,1932,5,Best Actor,Male,Wallace Beery,White,The Champ,1
1931,1932,5,Best Actor,Male,Fredric March,White,Dr. Jekyll and Mr. Hyde,1
1931,1932,5,Best Actress,Female,Helen Hayes,White,The Sin of Madelon Claudet,1
1932,1933,6,Best Actor,Male,Charles Laughton,White,The Private Life of Henry VIII,1
1932,1933,6,Best Actress,Female,Katharine Hepburn,White,Morning Glory,1
1934,1935,7,Best Actor,Male,Clark Gable,White,It Happened One Night,1
1934,1935,7,Best Actress,Female,Claudette Colbert,White,It Happened One Night,1
1935,1936,8,Best Actor,Male,Victor McLaglen,White,The Informer,1
1935,1936,8,Best Actress,Female,Bette Davis,White,Dangerous,1
1936,1937,9,Best Actor,Male,Paul Muni,White,The Story of Louis Pasteur,1
1936,1937,9,Best Actor in supporting role,Male,Walter Brennan,White,Come and Get It,1
1936,1937,9,Best Actress,Female,Luise Rainer,White,The Great Ziegfeld,1
1936,1937,9,ACTRESS IN A SUPPORTING ROLE,Female,Gale Sondergaard,White,Anthony Adverse,1
1937,1938,10,Best Actor,Male,Spencer Tracy,White,Captains Courageous,1
1937,1938,10,Best Actor in supporting role,Male,Joseph Schildkraut,White,The Life of Emile Zola,1
1937,1938,10,Best Actress,Female,Luise Rainer,White,The Good Earth,1
1937,1938,10,ACTRESS IN A SUPPORTING ROLE,Female,Alice Brady,White,In Old Chicago,1
1938,1939,11,Best Actor,Male,Spencer Tracy,White,Boys Town,1
1938,1939,11,Best Actor in supporting role,Male,Walter Brennan,White,Kentucky,1
1938,1939,11,Best Actress,Female,Bette Davis,White,Jezebel,1
1938,1939,11,ACTRESS IN A SUPPORTING ROLE,Female,Fay Bainter,White,Jezebel,1
1939,1940,12,Best Actor,Male,Robert Donat,White,"Goodbye, Mr. Chips",1
1939,1940,12,Best Actor in supporting role,Male,Thomas Mitchell,White,Stagecoach,1
1939,1940,12,Best Actress,Female,Vivien Leigh,White,Gone with the Wind,1
1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Female,Hattie McDaniel,Black,Gone with the Wind,1
1940,1941,13,Best Actor,Male,James Stewart,White,The Philadelphia Story,1
1940,1941,13,Best Actor in supporting role,Male,Walter Brennan,White,The Westerner,1
1940,1941,13,Best Actress,Female,Ginger Rogers,White,Kitty Foyle,1
1940,1941,13,ACTRESS IN A SUPPORTING ROLE,Female,Jane Darwell,White,The Grapes of Wrath,1
1941,1942,14,Best Actor,Male,Gary Cooper,White,Sergeant York,1
1941,1942,14,Best Actor in supporting role,Male,Donald Crisp,White,How Green Was My Valley,1
1941,1942,14,Best Actress,Female,Joan Fontaine,White,Suspicion,1
1941,1942,14,ACTRESS IN A SUPPORTING ROLE,Female,Mary Astor,White,The Great Lie,1
1942,1943,15,Best Actor,Male,James Cagney,White,Yankee Doodle Dandy,1
1942,1943,15,Best Actor in supporting role,Male,Van Heflin,White,Johnny Eager,1
1942,1943,15,Best Actress,Female,Greer Garson,White,Mrs. Miniver,1
1942,1943,15,ACTRESS IN A SUPPORTING ROLE,Female,Teresa Wright,White,Mrs. Miniver,1
1943,1944,16,Best Actor,Male,Paul Lukas,White,Watch on the Rhine,1
1943,1944,16,Best Actor in supporting role,Male,Charles Coburn,White,The More the Merrier,1
1943,1944,16,Best Actress,Female,Jennifer Jones,White,The Song of Bernadette,1
1943,1944,16,ACTRESS IN A SUPPORTING ROLE,Female,Katina Paxinou,White,For Whom the Bell Tolls,1
1944,1945,17,Best Actor,Male,Bing Crosby,White,Going My Way,1
1944,1945,17,Best Actor in supporting role,Male,Barry Fitzgerald,White,Going My Way,1
1944,1945,17,Best Actress,Female,Ingrid Bergman,White,Gaslight,1
1944,1945,17,ACTRESS IN A SUPPORTING ROLE,Female,Ethel Barrymore,White,None but the Lonely Heart,1
1945,1946,18,Best Actor,Male,Ray Milland,White,The Lost Weekend,1
1945,1946,18,Best Actor in supporting role,Male,James Dunn,White,A Tree Grows in Brooklyn,1
1945,1946,18,Best Actress,Female,Joan Crawford,White,Mildred Pierce,1
1945,1946,18,ACTRESS IN A SUPPORTING ROLE,Female,Anne Revere,White,National Velvet,1
1946,1947,19,Best Actor,Male,Fredric March,White,The Best Years of Our Lives,1
1946,1947,19,Best Actor in supporting role,Male,Harold Russell,White,The Best Years of Our Lives,1
1946,1947,19,Best Actress,Female,Olivia de Havilland,White,To Each His Own,1
1946,1947,19,ACTRESS IN A SUPPORTING ROLE,Female,Anne Baxter,White,The Razor's Edge,1
1947,1948,20,Best Actor,Male,Ronald Colman,White,A Double Life,1
1947,1948,20,Best Actor in supporting role,Male,Edmund Gwenn,White,Miracle on 34th Street,1
1947,1948,20,Best Actress,Female,Loretta Young,White,The Farmer's Daughter,1
1947,1948,20,ACTRESS IN A SUPPORTING ROLE,Female,Celeste Holm,White,Gentleman's Agreement,1
1948,1949,21,Best Actor,Male,Laurence Olivier,White,Hamlet,1
1948,1949,21,Best Actor in supporting role,Male,Walter Huston,White,The Treasure of the Sierra Madre,1
1948,1949,21,Best Actress,Female,Jane Wyman,White,Johnny Belinda,1
1948,1949,21,ACTRESS IN A SUPPORTING ROLE,Female,Claire Trevor,White,Key Largo,1
1949,1950,22,Best Actor,Male,Broderick Crawford,White,All the King's Men,1
